type;target;actual;timestamp
Steps;5000.0;14.463;2020-01-11 00:00:00 +0000
Steps;5000.0;13.391;2020-01-10 00:00:00 +0000
Steps;5000.0;7.165;2020-01-09 00:00:00 +0000
Steps;5000.0;9.961;2020-01-05 00:00:00 +0000
Steps;5000.0;9.604;2019-12-30 00:00:00 +0000
Steps;5000.0;7.185;2019-12-28 00:00:00 +0000
Steps;5000.0;5.274;2019-12-27 00:00:00 +0000
Steps;5000.0;6.418;2019-12-20 00:00:00 +0000
Steps;5000.0;5.047;2019-12-19 00:00:00 +0000
Steps;5000.0;12.096;2019-12-18 00:00:00 +0000
Steps;5000.0;8.404;2019-12-17 00:00:00 +0000
Steps;5000.0;6.641;2019-12-13 00:00:00 +0000
Steps;5000.0;9.973;2019-12-12 00:00:00 +0000
Steps;5000.0;6.296;2019-12-11 00:00:00 +0000
Steps;5000.0;11.355;2019-12-10 00:00:00 +0000
Steps;5000.0;12.298;2019-12-06 00:00:00 +0000
Steps;5000.0;12.114;2019-12-04 00:00:00 +0000
Steps;5000.0;10.023;2019-12-03 00:00:00 +0000
Steps;5000.0;9.481;2019-12-02 00:00:00 +0000
Steps;5000.0;8.854;2019-12-01 00:00:00 +0000
Steps;5000.0;12.002;2019-11-30 00:00:00 +0000
Steps;5000.0;6.192;2019-11-28 00:00:00 +0000
Steps;5000.0;8.588;2019-11-26 00:00:00 +0000
Steps;5000.0;5.513;2019-11-25 00:00:00 +0000
Steps;5000.0;5.992;2019-11-23 00:00:00 +0000
Steps;5000.0;12.948;2019-11-22 00:00:00 +0000
Steps;5000.0;6.338;2019-11-21 00:00:00 +0000
Steps;5000.0;5.774;2019-11-19 00:00:00 +0000
Steps;5000.0;6.807;2019-11-18 00:00:00 +0000
Steps;5000.0;7.207;2019-11-15 00:00:00 +0000
Steps;5000.0;10.088;2019-11-13 00:00:00 +0000
Steps;5000.0;6.046;2019-11-12 00:00:00 +0000
Steps;5000.0;5.798;2019-11-11 00:00:00 +0000
Steps;5000.0;8.918;2019-11-10 00:00:00 +0000
Steps;5000.0;8.400;2019-11-09 00:00:00 +0000
Steps;5000.0;7.424;2019-11-06 00:00:00 +0000
Steps;5000.0;6.266;2019-11-05 00:00:00 +0000
Steps;5000.0;8.875;2019-11-01 00:00:00 +0000
Steps;5000.0;5.415;2019-10-29 00:00:00 +0000
Steps;5000.0;6.910;2019-10-28 00:00:00 +0000
Steps;5000.0;5.273;2019-10-23 00:00:00 +0000
Steps;5000.0;5.286;2019-10-21 00:00:00 +0000
Steps;5000.0;9.111;2019-10-20 00:00:00 +0000
Steps;5000.0;10.070;2019-10-19 00:00:00 +0000
Steps;5000.0;5.682;2019-10-17 00:00:00 +0000
Steps;5000.0;5.721;2019-10-14 00:00:00 +0000
Steps;5000.0;5.789;2019-10-10 00:00:00 +0000
Steps;5000.0;5.891;2019-10-09 00:00:00 +0000
Steps;5000.0;7.600;2019-10-03 00:00:00 +0000
Steps;5000.0;5.099;2019-10-02 00:00:00 +0000
Steps;5000.0;6.807;2019-10-01 00:00:00 +0000
Steps;5000.0;6.923;2019-09-30 00:00:00 +0000
Steps;5000.0;7.520;2019-09-28 00:00:00 +0000
Steps;5000.0;9.034;2019-09-27 00:00:00 +0000
Steps;5000.0;5.602;2019-09-26 00:00:00 +0000
Steps;5000.0;5.815;2019-09-25 00:00:00 +0000
Steps;5000.0;5.167;2019-09-17 00:00:00 +0000
Steps;5000.0;9.202;2019-09-16 00:00:00 +0000
Steps;5000.0;9.145;2019-09-12 00:00:00 +0000
Steps;5000.0;6.317;2019-09-10 00:00:00 +0000
Steps;5000.0;5.544;2019-09-09 00:00:00 +0000
Steps;5000.0;10.255;2019-09-08 00:00:00 +0000
Steps;5000.0;8.149;2019-09-07 00:00:00 +0000
Steps;5000.0;6.021;2019-09-06 00:00:00 +0000
Steps;5000.0;9.381;2019-09-02 00:00:00 +0000
Steps;5000.0;6.107;2019-08-30 00:00:00 +0000
Steps;5000.0;5.205;2019-08-29 00:00:00 +0000
Steps;5000.0;5.040;2019-08-28 00:00:00 +0000
Steps;5000.0;12.260;2019-08-27 00:00:00 +0000
Steps;5000.0;7.122;2019-08-24 00:00:00 +0000
Steps;5000.0;9.009;2019-08-15 00:00:00 +0000
Steps;5000.0;5.176;2019-08-14 00:00:00 +0000
Steps;5000.0;7.288;2019-08-13 00:00:00 +0000
Steps;5000.0;5.775;2019-08-12 00:00:00 +0000
Steps;5000.0;5.006;2019-08-07 00:00:00 +0000
Steps;5000.0;16.603;2019-07-11 00:00:00 +0000
Steps;5000.0;5.609;2019-07-05 00:00:00 +0000
Steps;5000.0;5.716;2019-06-29 00:00:00 +0000
Steps;5000.0;6.429;2019-06-27 00:00:00 +0000
Steps;5000.0;9.942;2019-06-26 00:00:00 +0000
Steps;5000.0;8.983;2019-06-21 00:00:00 +0000
Steps;5000.0;13.440;2019-06-20 00:00:00 +0000
